filename,max_lat,min_lat,max_lon,min_lon,file_type,file_size_mb,file_format,version,created,utmzone,srs
ANA_A01_2017_laz_7.laz,-3.381557817,-3.381964243,-54.98658526,-54.99289377,pointcloud,1.92912,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_8.laz,-3.37252953,-3.381589499,-54.99289386,-55.00190904,pointcloud,68.854637,LAS/LAZ,1.2,214/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_9.laz,-3.347676762,-3.354465111,-54.99294943,-55.00195961,pointcloud,71.792704,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_0.laz,-3.373714112,-3.381963914,-55.00263314,-55.01010208,pointcloud,87.874094,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_1.laz,-3.364672645,-3.373729328,-55.00264998,-55.01010372,pointcloud,97.778639,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_10.laz,-3.355598027,-3.364654007,-54.9865742,-54.99369017,pointcloud,94.927468,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_11.laz,-3.373695514,-3.381967161,-54.99363631,-55.00264989,pointcloud,105.105846,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_2.laz,-3.347677925,-3.355612588,-54.98657654,-54.99370631,pointcloud,84.190886,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_3.laz,-3.347674131,-3.355631086,-54.99369026,-55.00270282,pointcloud,109.832633,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_4.laz,-3.355631177,-3.364687783,-55.00266841,-55.01010378,pointcloud,94.221392,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_5.laz,-3.347677396,-3.355646236,-55.0026868,-55.0101015,pointcloud,93.983374,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_6.laz,-3.355612679,-3.364672554,-54.99367178,-55.00268671,pointcloud,125.328608,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_7.laz,-3.364639444,-3.373695423,-54.98657423,-54.99367169,pointcloud,88.824898,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_8.laz,-3.37368086,-3.381962984,-54.98657573,-54.99365317,pointcloud,85.803534,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2018_LAS_9.laz,-3.364654097,-3.373714021,-54.99365326,-55.00266832,pointcloud,122.155971,LAS/LAZ,1.2,311/2018,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_0.laz,-2.531925571,-2.540977933,-46.82801832,-46.83478176,pointcloud,90.835403,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_1.laz,-2.550009146,-2.55906293,-46.82804377,-46.83480729,pointcloud,128.168618,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_10.laz,-2.55905161,-2.568105517,-46.82805656,-46.83482009,pointcloud,120.450388,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_11.laz,-2.54096641,-2.550020433,-46.82803102,-46.83479437,pointcloud,66.959251,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_12.laz,-2.56807799,-2.577124763,-46.84379703,-46.84606444,pointcloud,31.028743,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_13.laz,-2.568080882,-2.577137816,-46.83480849,-46.84382306,pointcloud,193.997918,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_14.laz,-2.568094343,-2.577147561,-46.82806939,-46.83483328,pointcloud,116.056342,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_2.laz,-2.549995957,-2.559053254,-46.83478259,-46.84379712,pointcloud,208.77947,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_3.laz,-2.531909538,-2.540954912,-46.84374606,-46.84601269,pointcloud,32.514832,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_4.laz,-2.549992817,-2.559040112,-46.84377091,-46.84603848,pointcloud,38.128121,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_5.laz,-2.531911299,-2.540968326,-46.83475714,-46.84377136,pointcloud,195.410416,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_6.laz,-2.540953719,-2.550010791,-46.83476989,-46.84378413,pointcloud,130.595674,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_7.laz,-2.559035766,-2.568082528,-46.84378426,-46.84605144,pointcloud,30.912801,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_8.laz,-2.540950681,-2.549997513,-46.84375859,-46.84602556,pointcloud,19.771244,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_9.laz,-2.559038465,-2.568095898,-46.83479533,-46.84381015,pointcloud,193.381237,LAS/LAZ,1,178/2014,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_0.laz,-2.568079166,-2.577124753,-46.84380386,-46.84606444,pointcloud,20.555399,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_1.laz,-2.549994354,-2.559039921,-46.84377801,-46.84603848,pointcloud,21.791154,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_10.laz,-2.540955175,-2.550010423,-46.83477429,-46.84377792,pointcloud,61.07521,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_11.laz,-2.531912754,-2.540967958,-46.83476155,-46.84376507,pointcloud,78.967498,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_12.laz,-2.568082428,-2.57713781,-46.8348128,-46.84381676,pointcloud,80.335445,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_13.laz,-2.559040012,-2.568095349,-46.83479992,-46.84380377,pointcloud,93.179196,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_14.laz,-2.549997594,-2.559052886,-46.83478708,-46.84379082,pointcloud,83.736645,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_2.laz,-2.531925582,-2.540977572,-46.82801832,-46.8347742,pointcloud,54.92198,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_3.laz,-2.540968048,-2.550020071,-46.82803102,-46.83478699,pointcloud,41.966345,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_4.laz,-2.559036761,-2.568082338,-46.84379091,-46.84605144,pointcloud,22.07167,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_5.laz,-2.568095439,-2.577147561,-46.82806939,-46.83482564,pointcloud,63.2104,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_6.laz,-2.531909538,-2.540955084,-46.84375235,-46.84601269,pointcloud,19.779862,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_7.laz,-2.550010513,-2.559062569,-46.82804377,-46.83479983,pointcloud,62.609785,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_8.laz,-2.559052977,-2.568105065,-46.82805656,-46.83481271,pointcloud,75.556312,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2013_laz_optional_9.laz,-2.540951947,-2.549997503,-46.84376516,-46.84602556,pointcloud,13.820384,LAS/LAZ,1,252/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_0.laz,-2.568079166,-2.577124753,-46.84380386,-46.84606444,pointcloud,34.12906,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_1.laz,-2.540951947,-2.549997503,-46.84376516,-46.84602556,pointcloud,21.582903,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_10.laz,-2.540955175,-2.550010423,-46.83477429,-46.84377792,pointcloud,93.96799,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_11.laz,-2.550010513,-2.559062569,-46.82804377,-46.83479983,pointcloud,98.693438,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_12.laz,-2.531909538,-2.540955084,-46.84375235,-46.84601269,pointcloud,27.16471,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_13.laz,-2.559052977,-2.568105065,-46.82805656,-46.83481271,pointcloud,102.794551,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_14.laz,-2.568082428,-2.57713781,-46.8348128,-46.84381676,pointcloud,147.907989,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_2.laz,-2.531912754,-2.540967958,-46.83476155,-46.84376507,pointcloud,122.465897,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_3.laz,-2.559036761,-2.568082338,-46.84379091,-46.84605144,pointcloud,34.798047,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_4.laz,-2.531925582,-2.540977572,-46.82801832,-46.8347742,pointcloud,85.577038,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_5.laz,-2.549994354,-2.559039921,-46.84377801,-46.84603848,pointcloud,28.251073,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_6.laz,-2.549997594,-2.559052886,-46.83478708,-46.84379082,pointcloud,124.82802,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_7.laz,-2.540968048,-2.550020071,-46.82803102,-46.83478699,pointcloud,63.988538,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_8.laz,-2.568095439,-2.577147561,-46.82806939,-46.83482564,pointcloud,103.114393,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
AND_A01_2017_LAS_9.laz,-2.559040012,-2.568095349,-46.83479992,-46.84380377,pointcloud,148.57508,LAS/LAZ,1.2,52/2018,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_0.laz,-9.299078583,-9.3081429,-68.27154952,-68.28067396,pointcloud,147.910624,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_1.laz,-9.292326762,-9.299134277,-68.28977832,-68.29889713,pointcloud,116.623809,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_10.laz,-9.292290091,-9.299098678,-68.27156833,-68.280688,pointcloud,121.070034,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_11.laz,-9.308104524,-9.314909556,-68.26243046,-68.27155016,pointcloud,112.074059,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_2.laz,-9.299059344,-9.308124417,-68.26244469,-68.27156924,pointcloud,144.40825,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_3.laz,-9.308160336,-9.314964348,-68.28974664,-68.29886524,pointcloud,116.97092,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_4.laz,-9.299097048,-9.308161151,-68.28065447,-68.28977905,pointcloud,160.058673,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_5.laz,-9.308141904,-9.314946317,-68.28064105,-68.28976044,pointcloud,120.098156,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_6.laz,-9.292308543,-9.299116548,-68.28067341,-68.28979246,pointcloud,122.080816,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_7.laz,-9.292271411,-9.299079941,-68.26246464,-68.2715831,pointcloud,115.838993,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_8.laz,-9.308123149,-9.314928052,-68.27153574,-68.28065529,pointcloud,111.905484,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANT_A01_2011_laz_9.laz,-9.2991151,-9.308179169,-68.2897598,-68.2988838,pointcloud,145.112174,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5770C8970_cleaned.laz,-9.308160336,-9.314964348,-68.28974664,-68.29886524,pointcloud,116.97092,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5770C8971_cleaned.laz,-9.2991151,-9.308179169,-68.2897598,-68.2988838,pointcloud,145.112174,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5770C8972_cleaned.laz,-9.292326762,-9.299134277,-68.28977832,-68.29889713,pointcloud,116.623809,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5780C8970_cleaned.laz,-9.308141904,-9.314946317,-68.28064105,-68.28976044,pointcloud,120.098156,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5780C8971_cleaned.laz,-9.299097048,-9.308161151,-68.28065447,-68.28977905,pointcloud,160.058673,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5780C8972_cleaned.laz,-9.292308543,-9.299116548,-68.28067341,-68.28979246,pointcloud,122.080816,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5790C8970_cleaned.laz,-9.308123149,-9.314928052,-68.27153574,-68.28065529,pointcloud,111.905484,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5790C8971_cleaned.laz,-9.299078583,-9.3081429,-68.27154952,-68.28067396,pointcloud,147.910624,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5790C8972_cleaned.laz,-9.292290091,-9.299098678,-68.27156833,-68.280688,pointcloud,121.070034,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5800C8970_cleaned.laz,-9.308104524,-9.314909556,-68.26243046,-68.27155016,pointcloud,112.074059,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5800C8971_cleaned.laz,-9.299059344,-9.308124417,-68.26244469,-68.27156924,pointcloud,144.40825,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANTL5800C8972_cleaned.laz,-9.292271411,-9.299079941,-68.26246464,-68.2715831,pointcloud,115.838993,LAS/LAZ,1,0/0,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_0.laz,-1.628084779,-1.628446508,-61.69650952,-61.69696463,pointcloud,0.190512,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_1.laz,-1.628075303,-1.634361208,-61.68794704,-61.69651559,pointcloud,30.928739,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_10.laz,-1.610002852,-1.619052588,-61.7055011,-61.70892944,pointcloud,26.346711,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_11.laz,-1.614303092,-1.619050307,-61.70383149,-61.70551345,pointcloud,7.707455,LAS/LAZ,1,106/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_2.laz,-1.600958355,-1.610009959,-61.70702471,-61.71212404,pointcloud,33.996025,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_3.laz,-1.591916074,-1.600966253,-61.71021985,-61.71451587,pointcloud,31.24248,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_4.laz,-1.588817199,-1.591920668,-61.71341422,-61.71451545,pointcloud,3.530034,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_5.laz,-1.591919671,-1.594213346,-61.71450834,-61.71531948,pointcloud,1.956381,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_6.laz,-1.583981819,-1.591923334,-61.71450598,-61.71790822,pointcloud,25.128189,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
BA3_A01_2014_laz_7.laz,-1.619042794,-1.619707657,-61.70550131,-61.7057383,pointcloud,0.191518,LAS/LAZ,1,60/2015,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
