Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
11,Villa Cristiana,LOR-05 // LO-MAR-VCRI-08,Loreto,Loreto,Nauta,-4.572717609,-73.77646126,No,100,116,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
12,Ipuku,LOR-06,Loreto,Loreto,Nauta,-4.497298968,-73.56616925,No,122,132,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
13,Ukara,LOR-07,Loreto,Loreto,Nauta,-4.461133218,-73.53009659,No,108,128,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
14,Sara Goza,NAU-01,Loreto,Loreto,Nauta,-4.470901646,-73.59516484,No,105,125,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
15,Gasparito,NAU-02,Loreto,Loreto,Nauta,-4.470897199,-73.59284895,No,116,99,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
16,Santa Rita,NAU-03,Loreto,Loreto,Nauta,-4.564806552,-73.66653506,No,97,106,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
17,Nueve de Octubre,NAU-04,Loreto,Loreto,Nauta,-4.572147748,-73.69447941,No,101,108,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
18,Yame Pata,NAU-05,Loreto,Loreto,Nauta,-4.570617317,-73.73371564,No,114,116,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
19,Yarina del Yanayacu,-,Loreto,Loreto,Nauta,-4.742333398,-73.9832667,No,116,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú."
20,Ayahuascal,-,Loreto,Loreto,Parinari,-4.721310689,-74.27852147,No,126,-,-,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
21,Chambira,-,Loreto,Loreto,Parinari,-4.713184772,-74.31161087,No,126,-,-,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
22,Salvavidas del Uiuri,-,Loreto,Loreto,Parinari,-4.726124765,-74.41455923,No,111,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú."
23,PV 4 Pithecia,-,Loreto,Loreto,Parinari,-5.211383552,-74.66922539,No,115,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Testimonio oral a Santiago Rivas Panduro de José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
24,PV 5 Santa Elena,-,Loreto,Loreto,Parinari,-5.235762596,-74.82283818,No,114,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Testimonio oral a Santiago Rivas Panduro de José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
25,PV 7 Camonal o Camotal,-,Loreto,Loreto,Parinari,-5.205932763,-75.44191443,No,126,-,At the edge of river,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
26,PV 8 Tibilo,-,Loreto,Loreto,Parinari,-5.237467598,-75.59544948,No,121,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
27,Nolo del Parinari,-,Loreto,Loreto,Parinari,-4.653248964,-74.62849628,No,115,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. (Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria)"
28,Zapotal,-,Loreto,Loreto,Parinari,-4.734583005,-74.25464987,No,115,-,-,"MORALES CHOCANO, Daniel. 2002. Contactos entre cocamas y shipibos: un acercamiento arqueológico a la Amazonía peruana. pp. 47-70. Investigaciones Sociales, Año 6, N°10. UNMSM. Lima, Perú."
29,Carmen 2,-,Loreto,Loreto,Tigre,-2.395332699,-76.28285723,No,240,218,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera parte: Informe de la delimitación de los sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
30,Florestal,-,Loreto,Loreto,Tigre,-2.460141163,-76.13659419,No,235,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
31,Piura,LO-TIG-PIU-07,Loreto,Loreto,Tigre,-4.115444213,-74.41347062,Yes,101,101,-,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2007.  Estudio de Impacto Ambiental y Social de la Prospección Sísmica 2D de 445 Km en el Lote 104. Capítulo IV: Línea Base Social. 302 pp. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
32,Río Tigre 1 o Providencia,LO-TIG-PRO-05,Loreto,Loreto,Tigre,-3.502073258,-74.74512222,No,120,107,-,"FIERRO HUATUCO, Koraíta. 2011. Plan de Monitoreo Arqueológico del Programa Exploratorio de los lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú. // CHUMPITAZ LLERENA, Daniel. 2011. Proyecto de Evaluación Arqueológica del Campamento Base Providencia y del Campamento Volante 07. Lote 123. Derivado del Plan de Monitoreo Arqueológico del Programa Exploratorio de los lotes 129, 123 y 124. Departamento de Loreto. 153 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
33,Intutillo 1,-,Loreto,Loreto,Tigre,-3.516517148,-74.8519902,No,126,-,-,"FIERRO HUATUCO, Koraíta. 2011. Plan de monitoreo arqueológico del programa Exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
34,Aucayacu 1,-,Loreto,Loreto,Tigre,-3.556814818,-74.97808432,No,140,-,-,"FIERRO HUATUCO, Koraíta. 2011. Plan de monitoreo arqueológico del programa exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
35,Bolognesi,TRN-011,Loreto,Loreto,Tigre,-3.341451029,-75.03308216,No,132,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
36,Lamas Tipishca (Nuevo Canaan),TRN-013,Loreto,Loreto,Tigre,-2.820860523,-75.42514961,No,155,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2007.  Estudio de Impacto Ambiental y Social de la Prospección Sísmica 2D de 445 Km en el Lote 104. Capítulo IV: Línea Base Social. 302 pp. Lima, Perú."
37,Bellavista,TRN-003,Loreto,Loreto,Tigre,-4.026855506,-74.36856514,No,104,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
38,San Jorge,TRN-004,Loreto,Loreto,Tigre,-3.94564562,-74.31052062,No,107,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
39,Pavayacu,TRN-005,Loreto,Loreto,Tigre,-3.682800806,-74.57520966,No,122,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
40,Santa Elena,TRN-006 // LO-TIG-SEL-06,Loreto,Loreto,Tigre,-3.513022179,-74.69254814,Yes,114,114,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
41,Puerto Intuto,TRN-007,Loreto,Loreto,Tigre,-3.488773942,-74.77929312,No,131,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
42,Alfonso Ugarte,TRN-008 //  LO-TIG-AUGA-04,Loreto,Loreto,Tigre,-3.486731737,-74.78971935,Yes,120,113,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. //MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
43,Quebrada Intuto,TRN-009,Loreto,Loreto,Tigre,-3.489138226,-74.78976383,No,118,-,-,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
44,El Alto,LO-TIG-ELAL-01,Loreto,Loreto,Tigre,-2.384749158,-75.80306422,Yes,169,155,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
45,La Punta - Pinshacocha,LO-TIG-LPUN-02,Loreto,Loreto,Tigre,-2.429586095,-75.79691166,Yes,158,156,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
46,28 de Julio,LO-TIG-28JUL-03,Loreto,Loreto,Tigre,-3.474547637,-74.79932839,Yes,119,121,In the river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
47,Solima,LO-TIG-SOL-08,Loreto,Loreto,Tigre,-4.132975497,-74.42500802,Yes,114,97,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
48,Gonzalo Tuy Tuy,-,Loreto,Loreto,Tigre,-3.68066459,-74.73525712,No,122,-,At the edge of river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
49,Fundo Barranquita,-,Loreto,Loreto,Tigre,-3.685418264,-74.71910949,No,123,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
50,Valencia,S-CORR-2 // LO-COR-VAL-01,Loreto,Loreto,Trompeteros,-3.128302925,-75.67464761,Yes,160,165,-,"RAVINES, Rogger. 1978-1980. Reconocimiento arqueológico en el río Corrientes, Nororiente del Perú. Pp. 111-138. Revista del Museo Nacional, Tomo XLIV. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
51,Platanoyacu,S-CORR-1,Loreto,Loreto,Trompeteros,-3.121481007,-75.67607416,No,162,-,-,"RAVINES, Rogger. 1978-1980. Reconocimiento arqueológico en el río Corrientes, Nororiente del Perú. Pp. 111-138. Revista del Museo Nacional, Tomo XLIV. Lima, Perú."
52,Carmen 1,-,Loreto,Loreto,Trompeteros,-2.41307893,-76.28287378,No,244,228,-,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los Sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
53,Carmen 3,-,Loreto,Loreto,Trompeteros,-2.484551812,-76.16046528,No,234,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
54,Carmen 4,-,Loreto,Loreto,Trompeteros,-2.475973529,-76.17446924,No,258,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
